feature,importance,kind
ESM_250,0.004770205566637768,ESM-2
ESM_586,0.004704129540001613,ESM-2
ESM_540,0.0041342029103173614,ESM-2
ESM_82,0.003915010524994289,ESM-2
ESM_469,0.003689076897400602,ESM-2
ESM_1137,0.0035469299513827264,ESM-2
ESM_234,0.0034787083447692098,ESM-2
ESM_408,0.00346127307506843,ESM-2
ESM_1166,0.003262437702134802,ESM-2
ESM_629,0.003230532653168098,ESM-2
ESM_1136,0.0031000269866410758,ESM-2
ESM_1271,0.0030034961094458036,ESM-2
ESM_1078,0.0029705433169432125,ESM-2
ESM_425,0.002889741175865154,ESM-2
ESM_1084,0.0027077921263074524,ESM-2
ESM_1138,0.00270109031939652,ESM-2
ESM_699,0.0026773834040554056,ESM-2
ESM_632,0.0025454143138211606,ESM-2
ESM_639,0.002527839407543475,ESM-2
ESM_278,0.002524880813732389,ESM-2
ESM_480,0.0024909433803262052,ESM-2
ESM_1128,0.002423986280093542,ESM-2
ESM_146,0.0024179973596127114,ESM-2
ESM_100,0.0023212194178836745,ESM-2
ESM_301,0.0022810745524428255,ESM-2
ESM_298,0.0022250111228522694,ESM-2
ESM_830,0.0022084153413411303,ESM-2
ESM_156,0.002188360599989992,ESM-2
ESM_355,0.0021672610180288486,ESM-2
ESM_101,0.00209381852541527,ESM-2
